Company Name,Country,Sector,Website,Status,Assigned To
Mutual Trading Co.,USA,Food & Beverage,lamtc.com,Open,Matsuo-san
Shopping In Japan,USA,Electronics & Appliances,shoppinginjapan.net,Open,Jayden
Oceana USA Inc.,USA,Beauty & Health,oceanausa.net,Open,Matsuo-san
RAKKAN USA,USA,Specialty Retail,rakkancorp.com,Open,Jayden
Seido Bicycle Components,USA,Bicycles & Parts,seido-components.com,Open,Jayden
World Sake Imports,USA,Beverages & Food,worldsake.com,Open,Jayden
Takigawa Corporation,USA,Chemicals & Materials,takigawa-corp.com,Open,Jayden
Saiko Stationery,USA,Stationery & Paper,saikostationery.com,Open,Jayden
JDM Tackle Heaven,USA,Fishing,jdmtackleheaven.com,Open,Matsuo-san
Ritbearing Corporation,USA,Bearings & Industrial,ritbearing.com,Open,Jayden
Sakatsu Global,USA,Hobby & Collectibles,sakatsuglobal.com,Open,Jayden
SMC Corp USA,USA,Robotics & Automation,smcusa.com,Open,Jayden
Daishin Corporation,USA,Chemicals & Materials,daishin-corp.com,Open,Jayden
JDM Japanparts,USA,Automotive Parts,japanparts.com,Open,Jayden
HiSOL Inc.,USA,Semiconductor,hisol.com,Open,Matsuo-san
Custom Japan,USA,Motorcycle Parts,customjapan.jp,Open,Jayden
Haiku Designs,USA,Furniture & Decor,haikudesigns.com,Open,Jayden
NPS Japan Corporation,USA,Machinery & Equipment,npsjapan.com,Open,Jayden
ITA Inc,USA,Chemicals & Materials,itaoffice.com,Open,Jayden
Minase,USA,Jewelry & Watches,minasewatches.com,Open,Jayden
Goods From Japan,USA,Electronics & Appliances,goodsofjapan.com,Open,Jayden
H.VIEW Security,USA,Electronics & Appliances,hviewsmart.com,Open,Jayden
Tokyo Pen Shop,USA,Stationery & Paper,tokyopenshop.com,Open,Jayden
CatEye,USA,Bicycles & Parts,cateye.com,Open,Jayden
IPPO Japan Watch,USA,Jewelry & Watches,ippojapanwatch.com,Open,Jayden
Reclaimed DesignWorks,USA,Lighting & Fixtures,reclaimeddesignworks.com,Open,Jayden
Haiku Designs,USA,Furniture,haikudesigns.com,Open,Matsuo-san
Dainichi Trading Co.,USA,Industrial,dainichi-trading.com,Open,Matsuo-san
TCGAKKI,USA,Music & Instruments,tcgakki.com,Open,Jayden
TASAKI,USA,Jewelry & Watches,tasaki-global.com,Open,Jayden
SUPER DELIVERY,USA,Miscellaneous,superdelivery.com,Open,Jayden
Tiger Claw,USA,Sports & Fitness,tigerclaw.com,Open,Jayden
Nippon Paint Americas,USA,Chemicals & Materials,nipponpaintamericas.com,Open,Jayden
Japan Steel Works America,USA,Machinery & Equipment,jsw.co.jp,Open,Jayden
Shiseido,USA,Specialty Retail,shiseido.com,Open,Jayden
DOKODEMO,USA,Miscellaneous,dokodemo.world,Open,Jayden
Japan Trend Shop,USA,Electronics & Appliances,japantrendshop.com,Open,Jayden
Hirotaka Jewelry,USA,Jewelry & Watches,hiro-taka.com,Open,Jayden
Amayori,USA,Bath & Body,amayori.com,Open,Jayden
