Company Name,Country,Sector,Website,Status,Assigned To
Akashi-Kama,USA,Fashion & Apparel,akashi-kama.com,Open,Jayden
JOC Goods,USA,Tableware,jocgoods.com,Open,Matsuo-san
JFC Australia Pty Ltd,Australia,Food & Beverage,jfc.com,Open,Matsuo-san
Sakura Hoseki,USA,Jewelry & Watches,sakurahoseki.com,Open,Jayden
Osakamachi,USA,Beauty & Cosmetics,osakamachi.com,Open,Jayden
CondeHouse USA,USA,Furniture,condehouse.com,Open,Matsuo-san
IMPEX Japan,USA,Automotive Parts,impex-jp.com,Open,Jayden
YAMAGIWA,USA,Lighting & Fixtures,yamagiwa.co.jp,Open,Jayden
Miss Matatabi,Australia,Textiles,shop.missmatatabi.com,Open,Matsuo-san
Miyakoshi Printing Machinery,USA,Machinery & Equipment,miyakoshi.co.jp,Open,Jayden
Japanese Taste,USA,Pharmaceuticals & Supplements,japanesetaste.com,Open,Jayden
Zootoyz,USA,Hobby & Collectibles,japan-wooden-model-kits-zootoyz.shop,Open,Jayden
Tokiwa Imports,USA,Beverages & Food,tokiwaimports.com,Open,Jayden
Plaza Japan,USA,Toys & Hobby,plazajapan.com,Open,Matsuo-san
Akoni Eyewear,USA,Eyewear & Optical,akoni.com,Open,Jayden
Wine of Japan,USA,Beverages & Food,wineofjapan.com,Open,Jayden
Airdog USA,USA,Electronics & Appliances,airdogusa.com,Open,Jayden
Mitsubishi Chemical America,USA,Chemicals & Materials,us.mitsubishi-chemical.com,Open,Jayden
JFC International,USA,Food & Beverage,jfc.com,Open,Matsuo-san
MUJI USA,USA,Stationery & Paper,muji.us,Open,Jayden
JINS,USA,Eyewear & Optical,us.jins.com,Open,Jayden
Harajuku Streetwear,USA,Fashion & Apparel,harajukustreetwear.com,Open,Jayden
Miya Company,USA,Tableware,wholesale.miyacompany.com,Open,Matsuo-san
Ko-ken USA,USA,Tools,kokenusa.com,Open,Matsuo-san
Tozando International,USA,Sports & Fitness,tozandoshop.com,Open,Jayden
Asian Beauty Wholesale,USA,Beauty & Health,asianbeautywholesale.com,Open,Matsuo-san
36Best,USA,Pharmaceuticals & Supplements,36best.com,Open,Jayden
Umami Insider,USA,Beverages & Food,umami-insider.com,Open,Jayden
FUJIFILM Wako Chemicals USA,USA,Electronics & Appliances,wakousa.com,Open,Jayden
Akazuki,USA,Camping & Outdoor,akazuki.com,Open,Jayden
JP-CarParts.com,USA,Automotive Parts,jp-carparts.com,Open,Matsuo-san
Tazaki Foods,UK,Food & Beverage,tazakifoods.com,Open,Matsuo-san
My Japanese Home,USA,Furniture & Decor,myjapanesehome.com,Open,Jayden
Zavvi US,USA,Hobby & Collectibles,us.zavvi.com,Open,Jayden
Nin-Nin Game,USA,Toys & Hobby,nin-nin-game.com,Open,Matsuo-san
TCMzone,USA,Pharmaceuticals & Supplements,tcmzone.com,Open,Jayden
J-Life,USA,Furniture & Decor,jlifeinternational.com,Open,Jayden
Mizuho,USA,Medical & Surgical,mizuho.co.jp,Open,Jayden
Japan Funtime,USA,Online & Marketplace,japanfuntime.com,Open,Jayden
SEE Eyewear,USA,Eyewear & Optical,seeeyewear.com,Open,Jayden
MORIHATA,USA,Beauty & Cosmetics,morihata.com,Open,Jayden
House of Bonsai,USA,Garden & Plants,houseofbonsai.com,Open,Jayden
CondeHouse USA,USA,Furniture & Decor,condehouse.com,Open,Jayden
