Company Name,Country,Sector,Website,Status,Assigned To
Q-Depot,USA,Beauty & Health,q-depot.com,Open,Matsuo-san
J-Top Trade (JTT),Australia,Food & Beverage,jtt.com.au,Open,Matsuo-san
Sakura Watches,USA,Jewelry & Watches,sakurawatches.com,Open,Jayden
Orimono Imports,USA,Textiles,orimonoimports.com,Open,Matsuo-san
Wismettac Asian Foods,USA,Miscellaneous,wismettacusa.com,Open,Jayden
Solaris Japan,USA,Online & Marketplace,solarisjapan.com,Open,Jayden
ESTEC,USA,Machinery & Equipment,estec-trade.com,Open,Jayden
Crunchyroll Store,USA,Hobby & Collectibles,store.crunchyroll.com,Open,Jayden
ICREST USA,USA,Food & Beverage,icrestusa.com,Open,Matsuo-san
Grease Point Workwear,USA,Fashion & Apparel,greasepointworkwear.com,Open,Jayden
HVH Industrial,USA,Bearings & Industrial,hvhindustrial.com,Open,Jayden
KPC Herbs,USA,Pharmaceuticals & Supplements,kpc.com,Open,Jayden
Japan Partner,USA,Automotive Parts,japan-partner.com,Open,Jayden
Great Zakka,USA,Kitchenware & Tableware,greatzakka.com,Open,Jayden
DOD Outdoors,USA,Camping & Outdoor,dodoutdoors.com,Open,Jayden
Wawaza,USA,Bath & Body,wawaza.com,Open,Jayden
Tokyo Otaku Mode (TOM),USA,Online & Marketplace,otakumode.com,Open,Jayden
Amayama,USA,Automotive Parts,amayama.com,Open,Jayden
Okayama Denim,USA,Fashion & Apparel,okayamadenim.com,Open,Jayden
Chubo Knives,USA,Kitchenware & Tableware,chuboknives.com,Open,Jayden
Yamato Budogu,USA,Sports & Fitness,yamatobudogu.com,Open,Jayden
AMEICO,USA,Lighting & Fixtures,ameico.com,Open,Jayden
KN Foods,USA,Beverages & Food,knfoods.com,Open,Jayden
Inaba Foods USA,USA,Miscellaneous,inaba.co.jp,Open,Jayden
Yayukata,USA,Fashion & Apparel,yayukata.com,Open,Jayden
Komori Corporation,USA,Machinery & Equipment,komori.com,Open,Jayden
Kokka USA,USA,Textiles,kokkausa.com,Open,Matsuo-san
YA-MAN USA,USA,Beauty & Cosmetics,ya-manusa.com,Open,Jayden
UTSUWA-NO-YAKATA,USA,Kitchenware & Tableware,utsuwa.us,Open,Jayden
Time Japan,USA,Jewelry & Watches,time-japan.com,Open,Jayden
Japanese Knife Imports,USA,Kitchenware & Tableware,japaneseknifeimports.com,Open,Jayden
Kakuri Sangyo,USA,Tools,kakuritools.com,Open,Matsuo-san
Animate USA,USA,Anime,animateusaonlineshop.com,Open,Matsuo-san
Hoyu Professional USA,USA,Beauty & Cosmetics,hoyuprousa.com,Open,Jayden
Daiei Trading,USA,Food & Beverage,daiei-trading.com,Open,Matsuo-san
Hida Tool & Hardware,USA,Tools,hidatool.com,Open,Matsuo-san
Yamaguchi Bonsai Nursery,USA,Garden & Plants,yamaguchinursery.com,Open,Jayden
Gulraj Trading Corporation,USA,Manufacturing,gulraj.co.jp,Open,Matsuo-san
ILEM JAPAN,USA,Beauty & Cosmetics,us.ilemjapan.com,Open,Jayden
Suzuki-ya,USA,Tools,suzukitool.com,Open,Matsuo-san
AST Bearings,USA,Bearings & Industrial,astbearings.com,Open,Jayden
Lou's Bonsai,USA,Garden & Plants,lousbonsai.com,Open,Jayden
Nippon Effect,Australia,Food & Beverage,nipponeffect.com.au,Open,Matsuo-san
