Company Name,Country,Sector,Website,Status,Assigned To
Japan Clothing,USA,Fashion & Apparel,japan-clothing.com,Open,Jayden
Tatcha,USA,Beauty & Cosmetics,tatcha.com,Open,Jayden
JapanTackle.com,USA,Fishing,japantackle.com,Open,Matsuo-san
Japanese Machinery.com,USA,Machinery & Equipment,japanesemachinery.com,Open,Jayden
Nippon Budogu,USA,Sports & Fitness,nipponbudogu.com,Open,Jayden
AudioCubes,USA,Electronics & Appliances,audiocubes.com,Open,Jayden
Direct from Japan,Australia,Tableware,directfromjapan.com.au,Open,Matsuo-san
Aoi Matcha,USA,Beverages & Food,aoimatcha.com,Open,Jayden
Dutton Automotive,Australia,Automotive Parts,duttonone.com.au,Open,Matsuo-san
Brussel's Bonsai,USA,Garden & Plants,brusselsbonsai.com,Open,Jayden
Luxeye Optical,USA,Eyewear & Optical,luxeyeoptical.com,Open,Jayden
Shiko Beauty Collective,USA,Bath & Body,shikobeauty.com,Open,Jayden
Q-Depot,USA,Beauty & Cosmetics,q-depot.com,Open,Jayden
Seattle Cutlery,USA,Kitchenware & Tableware,seacut.com,Open,Jayden
Kiyota Company,USA,Sports & Fitness,kiyotacompany.com,Open,Jayden
Monarch Plank,USA,Furniture & Decor,monarchplank.com,Open,Jayden
ZervTek,USA,Automotive Parts,zervtek.com,Open,Jayden
JetPens,USA,Stationery & Paper,jetpens.com,Open,Jayden
Eastern Classics,USA,Furniture & Decor,tansushop.com,Open,Jayden
Orimono Imports,USA,Textiles & Fabrics,orimonoimports.com,Open,Jayden
KōROGI,USA,Camping & Outdoor,korogi.co,Open,Jayden
UKA Japan Motors,Australia,Automotive Parts,njmotors.com.au,Open,Matsuo-san
CBC Co.,USA,Chemicals,cbcco.com,Open,Matsuo-san
Seido Shop,USA,Sports & Fitness,seidoshop.com,Open,Jayden
KURABO,USA,Textiles & Fabrics,kurabo.com,Open,Jayden
Nissha Medical Technologies,USA,Medical & Surgical,nisshamedical.com,Open,Jayden
Ishibashi Music,USA,Music & Instruments,ishibashi.co.jp,Open,Jayden
Solstice Medicine,USA,Pharmaceuticals & Supplements,solsticemed.com,Open,Jayden
J-Life International,USA,Furniture,jlifeinternational.com,Open,Matsuo-san
JBI.BIKE,USA,Bicycles & Parts,jbi.bike,Open,Jayden
Otaku House USA,USA,Online & Marketplace,shop.otakuhouse.com,Open,Jayden
JFC International Europe,Europe,Food & Beverage,jfc.eu,Open,Matsuo-san
Murasaki Cosmetics,Europe,Beauty & Health,murasakicosmetics.com,Open,Matsuo-san
Top Tier Japan,USA,Automotive Parts,toptierjapan.com,Open,Jayden
Japan Lifeline,USA,Medical & Surgical,japanlifeline.com,Open,Jayden
Otaku House USA,USA,Anime,shop.otakuhouse.com,Open,Matsuo-san
Momotaro Jeans,USA,Fashion & Apparel,momotaro-jeans.com,Open,Jayden
Japan Import Tackle,USA,Fishing,japanimporttackle.com,Open,Matsuo-san
Komorebi,USA,Stationery & Paper,komorebistationery.com,Open,Jayden
OOKKUU,USA,Furniture,ookkuu.com,Open,Matsuo-san
ICREST,USA,Miscellaneous,icrestusa.com,Open,Jayden
Heigo Australia,Australia,Food & Beverage,heigo.com.au,Open,Matsuo-san
OOKKUU,USA,Furniture & Decor,ookkuu.com,Open,Jayden
