Company Name,Country,Sector,Website,Status,Assigned To
MG Group (Marukan),USA,Miscellaneous,marukanusa.com,Open,Jayden
Webike,USA,Motorcycle Parts,japan.webike.net,Open,Jayden
Kinokuniya USA,USA,Miscellaneous,usa.kinokuniya.com,Open,Jayden
Bookoff USA,USA,Miscellaneous,shop.bookoffusa.com,Open,Jayden
Bungu,USA,Stationery & Paper,bungu.store,Open,Jayden
Wismettac Asian Foods,USA,Food & Beverage,wismettacusa.com,Open,Matsuo-san
Japan Precision Tools,USA,Machinery & Equipment,japanprecision.us,Open,Jayden
J Style,Australia,Tableware,jstyle.com.au,Open,Matsuo-san
Rhee Bros.,USA,Food & Beverage,rheebrothers.com,Open,Matsuo-san
Snow Peak USA,USA,Sports & Fitness,snowpeak.com,Open,Jayden
Import Monster,Australia,Automotive Parts,importmonster.com.au,Open,Matsuo-san
Sun of Japan,USA,Eyewear & Optical,sunofjapan.com,Open,Jayden
Millennium Gallery,USA,Furniture & Decor,millenniumgalleryjp.com,Open,Jayden
JP-CarParts,USA,Automotive Parts,jp-carparts.com,Open,Jayden
AKIBO Corporation,USA,Bicycles & Parts,akibo.co.jp,Open,Jayden
Sekisui Chemical,USA,Chemicals & Materials,sekisuichemical.com,Open,Jayden
SNOB ASIA,USA,Fashion & Apparel,snobasia.com,Open,Jayden
Buy Me Japan,USA,Bath & Body,buymejapan.com,Open,Jayden
Matsuda,USA,Eyewear & Optical,matsuda.com,Open,Jayden
Oceana USA,USA,Beauty & Cosmetics,oceanausa.net,Open,Jayden
Osaka Tools,USA,Tools,osakatools.com,Open,Matsuo-san
Japanparts.com,USA,Automotive Parts,japanparts.com,Open,Matsuo-san
TENSHI Streetwear,USA,Fashion & Apparel,tenshi-streetwear.com,Open,Jayden
AsianBeautyWholesale,USA,Beauty & Cosmetics,asianbeautywholesale.com,Open,Jayden
HLJ.com,USA,Toys & Hobby,hlj.com,Open,Matsuo-san
JAP Express,USA,Automotive Parts,jap-express.com,Open,Jayden
SOCIÉ WORLD,USA,Specialty Retail,sociworld.com,Open,Jayden
ACG Go,USA,Anime,acg-go.com,Open,Matsuo-san
Marukome USA,USA,Beverages & Food,marukomeusa.com,Open,Jayden
Gundam Planet,USA,Hobby & Collectibles,gundamplanet.com,Open,Jayden
Kinokuniya USA,USA,Books,usa.kinokuniya.com,Open,Matsuo-san
ODELIC,USA,Lighting & Fixtures,odelic.com,Open,Jayden
Kokoro Japan,USA,Pharmaceuticals & Supplements,kokorojapanstore.com,Open,Jayden
TS Export,USA,Motorcycle Parts,ts-export.com,Open,Jayden
Denimio,USA,Fashion & Apparel,denimio.com,Open,Jayden
Majestic Japanese Beauty Salon,USA,Specialty Retail,smergers.com,Open,Jayden
Mitsui Chemicals America,USA,Chemicals & Materials,us.mitsuichemicals.com,Open,Jayden
MIYAKE CERAMICS,USA,Kitchenware & Tableware,miyakeceramics.com,Open,Jayden
MIYA Company,USA,Kitchenware & Tableware,miyacompany.com,Open,Jayden
KYOTO BONSAI NURSERY,USA,Garden & Plants,kyoto-omuro.com,Open,Jayden
MUSUBI KILN,USA,Kitchenware & Tableware,musubikiln.com,Open,Jayden
Rikumo,USA,Bath & Body,rikumo.com,Open,Jayden
SakéOne,USA,Beverages & Food,sakeone.com,Open,Jayden
